Id,MSSubClass,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageCars,YrSold,SalePrice
50,20,RL,7742,5,7,1966,1966,0,TA,955,Y,955,0,955,1,TA,0,1,2007,127000
51,60,RL,13869,6,6,1997,1997,0,TA,794,Y,794,676,1470,0,TA,0,2,2007,177000
52,50,RM,6240,6,6,1934,1950,0,TA,816,Y,816,0,1176,0,TA,1,2,2006,114500
53,90,RM,8472,5,5,1963,1963,0,Fa,816,N,816,0,816,1,TA,0,2,2010,110000
54,20,RL,50271,9,5,1981,1987,0,Gd,1842,Y,1842,0,1842,2,Gd,1,3,2006,385000
55,80,RL,7134,5,5,1955,1955,0,TA,384,Y,1360,0,1360,0,TA,1,2,2007,130000
56,20,RL,10175,6,5,1964,1964,272,TA,1425,Y,1425,0,1425,0,TA,1,2,2008,180500
57,160,FV,2645,8,5,1999,2000,456,Gd,970,Y,983,756,1739,1,Gd,0,2,2009,172500
58,60,RL,11645,7,5,2004,2004,0,Gd,860,Y,860,860,1720,0,Gd,0,2,2006,196500
59,60,RL,13682,10,5,2006,2006,1031,Ex,1410,Y,1426,1519,2945,0,Gd,1,3,2006,438780
60,20,RL,7200,5,7,1972,1972,0,TA,780,Y,780,0,780,0,TA,0,1,2008,124900
61,20,RL,13072,6,5,2004,2004,0,TA,1158,Y,1158,0,1158,1,Gd,0,2,2006,158000
62,75,RM,7200,5,7,1920,1996,0,TA,530,N,581,530,1111,0,Fa,0,1,2007,101000
63,120,RL,6442,8,5,2006,2006,178,Gd,1370,Y,1370,0,1370,0,Gd,1,2,2007,202500
64,70,RM,10300,7,6,1921,1950,0,TA,576,Y,902,808,1710,0,TA,0,2,2010,140000
65,60,RL,9375,7,5,1997,1998,573,TA,1057,Y,1057,977,2034,1,Gd,0,2,2009,219500
66,60,RL,9591,8,5,2004,2005,344,Gd,1143,Y,1143,1330,2473,0,Gd,1,3,2007,317000
67,20,RL,19900,7,5,1970,1989,287,TA,1947,Y,2207,0,2207,1,TA,1,2,2010,180000
68,20,RL,10665,7,5,2003,2003,167,Gd,1453,Y,1479,0,1479,1,Gd,0,2,2007,226000
69,30,RM,4608,4,6,1945,1950,0,TA,747,Y,747,0,747,0,TA,0,1,2010,80000
70,50,RL,15593,7,4,1953,1953,0,Gd,1304,Y,1304,983,2287,0,TA,1,2,2006,225000
71,20,RL,13651,7,6,1973,1973,1115,TA,2223,Y,2223,0,2223,1,TA,2,2,2007,244000
72,20,RL,7599,4,6,1982,2006,0,TA,845,Y,845,0,845,1,TA,0,2,2007,129500
73,60,RL,10141,7,5,1998,1998,40,TA,832,Y,885,833,1718,0,TA,1,2,2009,185000
74,20,RL,10200,5,7,1954,2003,104,TA,1086,Y,1086,0,1086,1,TA,0,2,2010,144900
75,50,RM,5790,3,6,1915,1950,0,Gd,840,N,840,765,1605,0,TA,0,1,2010,107400
76,180,RM,1596,4,5,1973,1973,0,TA,462,Y,526,462,988,1,TA,0,1,2009,91000
77,20,RL,8475,4,7,1956,1956,0,TA,952,Y,952,0,952,0,TA,0,1,2008,135750
78,50,RM,8635,5,5,1948,2001,0,TA,672,Y,1072,213,1285,1,TA,0,1,2008,127000
79,90,RL,10778,4,5,1968,1968,0,TA,1768,N,1768,0,1768,0,TA,0,0,2010,136500
80,50,RM,10440,5,6,1910,1981,0,TA,440,Y,682,548,1230,0,TA,0,2,2009,110000
81,60,RL,13000,6,6,1968,1968,576,TA,896,Y,1182,960,2142,0,Gd,1,1,2009,193500
82,120,RM,4500,6,5,1998,1998,443,TA,1237,Y,1337,0,1337,1,TA,0,2,2006,153500
83,20,RL,10206,8,5,2007,2007,468,TA,1563,Y,1563,0,1563,0,Gd,1,3,2008,245000
84,20,RL,8892,5,5,1960,1960,66,TA,1065,Y,1065,0,1065,0,TA,0,2,2007,126500
85,80,RL,8530,7,5,1995,1996,22,TA,384,Y,804,670,1474,0,TA,1,2,2009,168500
86,60,RL,16059,8,5,1991,1992,284,Gd,1288,Y,1301,1116,2417,0,Gd,1,2,2006,260000
87,60,RL,11911,6,5,2005,2005,0,Gd,684,Y,684,876,1560,0,Gd,1,2,2009,174000
88,160,FV,3951,6,5,2009,2009,76,Gd,612,Y,612,612,1224,0,Gd,0,2,2009,164500
89,50,C (all),8470,3,2,1915,1982,0,Fa,1013,N,1013,0,1526,0,Fa,0,0,2009,85000
90,20,RL,8070,4,5,1994,1995,0,TA,990,Y,990,0,990,1,TA,0,0,2007,123600
91,20,RL,7200,4,5,1950,1950,0,TA,0,Y,1040,0,1040,0,TA,0,2,2006,109900
92,20,RL,8500,5,3,1961,1961,203,TA,1235,Y,1235,0,1235,0,TA,0,2,2006,98600
93,30,RL,13360,5,7,1921,2006,0,TA,876,Y,964,0,964,1,TA,0,2,2009,163500
94,190,C (all),7200,6,6,1910,1998,0,TA,1214,N,1260,1031,2291,0,TA,1,2,2007,133900
95,60,RL,9337,6,5,1997,1997,0,TA,824,Y,905,881,1786,1,Gd,0,2,2007,204750
96,60,RL,9765,6,8,1993,1993,68,Ex,680,Y,680,790,1470,0,TA,1,2,2009,185000
97,20,RL,10264,7,5,1999,1999,183,Gd,1588,Y,1588,0,1588,0,Gd,0,2,2006,214000
98,20,RL,10921,4,5,1965,1965,48,TA,960,Y,960,0,960,1,TA,0,1,2007,94750
99,30,RL,10625,5,5,1920,1950,0,TA,458,N,835,0,835,0,TA,0,1,2010,83000
100,20,RL,9320,4,5,1959,1959,0,TA,950,Y,1225,0,1225,1,TA,0,0,2010,128950
101,20,RL,10603,6,7,1977,2001,28,TA,1610,Y,1610,0,1610,1,Gd,2,2,2010,205000
102,60,RL,9206,6,5,1985,1985,336,Gd,741,Y,977,755,1732,0,Gd,1,2,2010,178000
103,90,RL,7018,5,5,1979,1979,0,TA,0,Y,1535,0,1535,0,TA,0,2,2009,118964
104,20,RL,10402,7,5,2009,2009,0,TA,1226,Y,1226,0,1226,0,Gd,0,3,2010,198900
105,50,RM,7758,7,4,1931,1950,600,TA,1040,Y,1226,592,1818,0,TA,2,1,2007,169500
106,60,FV,9375,8,5,2003,2004,768,Gd,1053,Y,1053,939,1992,0,Gd,1,2,2008,250000
107,30,RM,10800,4,7,1885,1995,0,TA,641,Y,1047,0,1047,0,TA,0,1,2007,100000
108,20,RM,6000,5,5,1948,1950,0,TA,789,Y,789,0,789,0,TA,0,1,2008,115000
109,50,RM,8500,5,7,1919,2005,0,TA,793,N,997,520,1517,0,Fa,0,0,2007,115000
110,20,RL,11751,6,6,1977,1977,480,TA,1844,Y,1844,0,1844,0,TA,1,2,2010,190000
111,50,RL,9525,6,4,1954,1972,0,TA,994,Y,1216,639,1855,0,TA,0,1,2006,136900
112,80,RL,7750,7,5,2000,2000,0,TA,384,Y,774,656,1430,0,TA,1,2,2010,180000
113,60,RL,9965,7,5,2007,2007,220,Gd,1264,Y,1282,1414,2696,1,Ex,1,3,2007,383970
114,20,RL,21000,6,5,1953,1953,184,TA,1809,Y,2259,0,2259,1,Gd,2,2,2007,217000
115,70,RL,7259,6,8,1945,2002,0,TA,1028,Y,1436,884,2320,1,Gd,1,1,2007,259500
116,160,FV,3230,6,5,1999,1999,1129,TA,729,Y,729,729,1458,0,TA,1,2,2007,176000
117,20,RL,11616,5,5,1962,1962,116,TA,1092,Y,1092,0,1092,0,TA,1,1,2009,139000
118,20,RL,8536,5,5,2006,2007,0,TA,1125,Y,1125,0,1125,0,TA,0,2,2007,155000
119,60,RL,12376,7,5,1990,1990,0,TA,1673,Y,1699,1523,3222,1,Gd,2,3,2010,320000
120,60,RL,8461,6,5,2005,2006,0,Gd,728,Y,728,728,1456,0,Gd,1,2,2006,163990
121,80,RL,21453,6,5,1969,1969,0,TA,938,Y,988,0,988,1,TA,2,2,2006,180000
122,50,RM,6060,4,5,1939,1950,0,TA,732,Y,772,351,1123,0,TA,0,1,2007,100000
123,20,RL,9464,6,7,1958,1958,135,TA,1080,Y,1080,0,1080,0,TA,0,1,2008,136000
124,120,RL,7892,6,5,1993,1993,0,Gd,1199,Y,1199,0,1199,0,Gd,0,2,2008,153900
125,20,RL,17043,6,5,1979,1998,0,TA,1362,Y,1586,0,1586,0,TA,1,2,2009,181000
126,190,RM,6780,6,8,1935,1982,0,TA,520,N,520,0,754,1,TA,0,0,2006,84500
127,120,RL,4928,6,5,1976,1976,0,TA,1078,Y,958,0,958,0,TA,1,2,2007,128000
128,45,RM,4388,5,7,1930,1950,0,TA,672,Y,840,0,840,0,TA,1,0,2007,87000
129,60,RL,7590,6,5,1966,1966,266,TA,660,Y,660,688,1348,0,TA,1,2,2006,155000
130,20,RL,8973,5,7,1958,1991,85,TA,1008,Y,1053,0,1053,0,Ex,0,2,2006,150000
131,60,RL,14200,7,6,1966,1966,309,TA,924,Y,1216,941,2157,0,Gd,2,2,2006,226000
132,60,RL,12224,6,5,2000,2000,40,Gd,992,Y,1022,1032,2054,1,Gd,1,2,2009,244000
133,20,RL,7388,5,6,1959,2002,0,TA,1063,Y,1327,0,1327,1,Gd,0,2,2007,150750
134,20,RL,6853,8,5,2001,2002,136,Gd,1267,Y,1296,0,1296,1,Gd,0,2,2009,220000
135,20,RL,10335,5,6,1968,1993,0,TA,1461,Y,1721,0,1721,0,TA,1,2,2006,180000
136,20,RL,10400,7,6,1970,1970,288,TA,1304,Y,1682,0,1682,0,TA,1,2,2008,174000
137,20,RL,10355,5,5,1967,1967,196,TA,1214,Y,1214,0,1214,0,TA,1,1,2007,143000
138,90,RL,11070,7,5,1988,1989,70,TA,1907,Y,1959,0,1959,0,TA,0,3,2006,171000
139,60,RL,9066,8,5,1999,2000,320,Gd,1004,Y,1004,848,1852,0,Gd,2,3,2008,230000
140,60,RL,15426,6,5,1997,1997,0,TA,928,Y,928,836,1764,1,Gd,0,2,2009,231500
141,20,RL,10500,4,5,1971,1971,0,TA,864,Y,864,0,864,0,TA,1,0,2010,115000
142,20,RL,11645,7,5,2005,2005,0,Gd,1734,Y,1734,0,1734,1,Gd,0,2,2006,260000
143,50,RL,8520,5,4,1952,1952,0,TA,910,Y,910,475,1385,0,TA,0,2,2010,166000
144,20,RL,10335,7,5,1999,1999,183,Gd,1490,Y,1501,0,1501,1,Gd,0,2,2009,204000
145,90,RM,9100,5,5,1963,1963,336,TA,1728,Y,1728,0,1728,1,TA,0,2,2006,125000
146,160,RM,2522,6,5,2004,2006,50,Gd,970,Y,970,739,1709,0,Gd,0,2,2006,130000
147,30,RM,6120,5,7,1931,1993,0,TA,715,Y,875,0,875,1,TA,0,1,2009,105000
148,60,RL,9505,7,5,2001,2001,180,Gd,884,Y,884,1151,2035,0,Gd,1,2,2010,222500
149,20,RL,7500,7,5,2004,2005,120,TA,1080,Y,1080,0,1080,1,Gd,0,0,2008,141000
150,50,RM,6240,5,4,1936,1950,0,TA,896,Y,896,448,1344,0,TA,0,1,2006,115000
151,20,RL,10356,5,6,1975,1975,0,TA,969,Y,969,0,969,0,TA,0,2,2007,122000
152,20,RL,13891,8,5,2007,2008,436,Gd,1710,Y,1710,0,1710,1,Gd,1,3,2008,372402
153,60,RL,14803,6,5,1971,1971,252,TA,825,Y,1097,896,1993,0,TA,1,2,2006,190000
154,20,RL,13500,6,7,1960,1975,0,TA,1602,Y,1252,0,1252,1,TA,1,2,2008,235000
155,30,RM,11340,6,5,1923,1950,0,TA,1200,Y,1200,0,1200,0,TA,0,1,2006,125000
156,50,RL,9600,6,5,1924,1950,0,TA,572,N,572,524,1096,0,TA,0,0,2008,79000
157,20,RL,7200,5,7,1950,1950,0,TA,0,Y,1040,0,1040,0,TA,0,2,2006,109500
158,60,RL,12003,8,5,2009,2010,84,Gd,774,Y,774,1194,1968,0,Ex,1,3,2010,269500
159,60,FV,12552,7,5,2004,2005,0,Gd,991,Y,991,956,1947,0,Gd,1,2,2010,254900
160,60,RL,19378,7,5,2005,2006,456,Gd,1392,Y,1392,1070,2462,1,Gd,1,2,2006,320000
161,20,RL,11120,6,6,1984,1984,0,TA,1232,Y,1232,0,1232,0,TA,0,2,2008,162500
162,60,RL,13688,9,5,2003,2004,664,Gd,1572,Y,1572,1096,2668,1,Ex,2,3,2008,412500
163,20,RL,12182,7,5,2005,2005,226,Gd,1541,Y,1541,0,1541,0,Gd,1,2,2010,220000
164,45,RL,5500,4,6,1956,1956,0,TA,882,Y,882,0,882,0,TA,0,0,2007,103200
165,40,RM,5400,6,7,1926,2004,0,TA,1149,Y,1149,467,1616,0,Gd,0,1,2007,152000
166,190,RL,10106,5,7,1940,1999,0,TA,644,Y,808,547,1355,1,TA,0,0,2008,127500
167,20,RL,10708,5,5,1955,1993,0,Gd,1617,Y,1867,0,1867,1,TA,3,1,2009,190000
168,60,RL,10562,8,5,2007,2007,300,Gd,1582,Y,1610,551,2161,1,Ex,1,3,2007,325624
169,60,RL,8244,7,5,2004,2004,0,Gd,840,Y,840,880,1720,0,Gd,1,2,2007,183500
170,20,RL,16669,8,6,1981,1981,653,Gd,1686,Y,1707,0,1707,0,TA,1,2,2006,228000
171,50,RM,12358,5,6,1941,1950,0,TA,720,Y,854,0,1382,0,TA,0,2,2007,128500
172,20,RL,31770,6,5,1960,1960,112,TA,1080,Y,1656,0,1656,1,TA,2,2,2010,215000
173,160,RL,5306,7,7,1987,1987,0,Gd,1064,Y,1064,703,1767,1,Gd,1,2,2006,239000
174,20,RL,10197,6,5,1961,1961,491,TA,1362,Y,1362,0,1362,1,TA,1,2,2008,163000
175,20,RL,12416,6,5,1986,1986,132,TA,1606,Y,1651,0,1651,1,TA,1,2,2008,184000
176,20,RL,12615,6,7,1950,2001,0,TA,1202,Y,2158,0,2158,1,Gd,1,2,2007,243000
177,60,RL,10029,6,5,1988,1989,268,Gd,1151,Y,1164,896,2060,0,TA,1,2,2007,211000
178,50,RL,13650,5,5,1958,1958,0,Gd,1052,Y,1252,668,1920,1,Gd,1,2,2006,172500
179,20,RL,17423,9,5,2008,2009,748,Ex,2216,Y,2234,0,2234,1,Ex,1,3,2009,501837
180,30,RM,8520,5,6,1923,2006,0,Gd,968,Y,968,0,968,0,TA,0,2,2007,100000
181,160,FV,2117,6,5,2000,2000,456,Gd,756,Y,769,756,1525,0,Gd,1,2,2007,177000
182,70,RL,7588,7,6,1920,1950,0,TA,793,Y,901,901,1802,0,TA,1,1,2006,200100
183,20,RL,9060,5,6,1957,2006,98,TA,0,Y,1340,0,1340,0,TA,1,1,2007,120000
184,50,RM,11426,7,5,2003,2003,0,TA,1362,Y,1362,720,2082,0,Gd,0,2,2008,200000
185,50,RL,7438,5,8,1908,1991,0,TA,504,Y,936,316,1252,0,TA,0,2,2006,127000
186,75,RM,22950,10,9,1892,1993,0,Gd,1107,Y,1518,1518,3608,0,Ex,2,3,2006,475000
187,80,RL,9947,7,5,1990,1991,0,TA,1188,Y,1217,0,1217,1,Gd,0,2,2009,173000
188,50,RL,10410,5,7,1916,1987,0,TA,660,Y,808,704,1656,0,TA,0,1,2009,135000
189,90,RL,7018,5,5,1979,1979,275,TA,1086,Y,1224,0,1224,2,TA,2,2,2009,153337
190,120,RL,4923,8,5,2001,2002,0,Gd,1593,Y,1593,0,1593,1,Ex,1,2,2008,286000
191,70,RL,10570,8,8,1932,1994,0,Gd,853,Y,1549,1178,2727,0,Gd,2,2,2007,315000
192,60,RL,7472,7,9,1972,2004,138,TA,725,Y,725,754,1479,1,Gd,0,2,2007,184000
193,20,RL,9017,7,5,1999,1999,0,Gd,1431,Y,1431,0,1431,1,Gd,0,2,2009,192000
194,160,RM,2522,7,5,2004,2004,50,Gd,970,Y,970,739,1709,0,Gd,0,2,2006,130000
195,20,RL,7180,5,7,1972,1972,0,TA,864,Y,864,0,864,0,TA,0,1,2008,127000
196,160,RL,2280,6,6,1976,1976,0,TA,855,Y,855,601,1456,0,TA,1,2,2009,148500
197,20,RL,9416,7,5,2007,2007,205,Ex,1726,Y,1726,0,1726,1,Ex,1,3,2007,311872
198,75,RL,25419,8,4,1918,1990,0,Gd,1360,Y,1360,1360,3112,1,Gd,1,2,2006,235000
199,75,RM,5520,6,6,1912,1950,0,TA,755,Y,929,929,2229,0,TA,0,0,2009,104000
200,20,RL,9591,8,5,2004,2005,262,Gd,1713,Y,1713,0,1713,1,Ex,1,3,2009,274900
201,20,RM,8546,4,5,2003,2004,0,TA,1121,Y,1121,0,1121,0,TA,0,2,2010,140000
202,20,RL,10125,6,6,1977,1977,0,TA,1196,Y,1279,0,1279,0,TA,2,2,2008,171500
203,50,RL,7000,6,6,1924,1950,0,TA,617,Y,865,445,1310,0,TA,0,1,2006,112000
204,120,RM,4438,6,5,2004,2004,205,Gd,848,Y,848,0,848,1,Gd,1,2,2008,149000
205,50,RM,3500,5,7,1947,1950,0,TA,720,Y,720,564,1284,0,TA,0,1,2009,110000
206,20,RL,11851,7,5,1990,1990,0,TA,1424,Y,1442,0,1442,0,TA,0,2,2009,180500
207,20,RL,13673,5,5,1962,1962,0,TA,1140,Y,1696,0,1696,0,TA,1,1,2007,143900
208,20,RL,12493,4,5,1960,1960,0,TA,1100,Y,1100,0,1100,1,TA,1,1,2008,141000
209,60,RL,14364,7,5,1988,1989,128,Gd,1157,Y,1180,882,2062,1,TA,1,2,2007,277000
210,20,RL,8250,6,7,1964,1964,260,TA,1092,Y,1092,0,1092,1,TA,0,2,2008,145000
211,30,RL,5604,5,6,1925,1950,0,TA,864,N,864,0,864,1,TA,0,0,2008,98000
212,20,RL,10420,6,5,2009,2009,0,TA,1212,Y,1212,0,1212,0,Gd,0,2,2010,186000
213,60,FV,8640,7,5,2009,2009,0,TA,900,Y,932,920,1852,1,Gd,1,2,2009,252678
214,20,RL,13568,5,5,1995,1995,0,TA,990,Y,990,0,990,0,TA,0,2,2006,156000
215,60,RL,10900,6,7,1977,1977,153,TA,689,Y,689,703,1392,0,TA,0,1,2010,161750
216,20,RL,10011,5,6,1957,1996,64,TA,1070,Y,1236,0,1236,0,Gd,1,1,2006,134450
217,20,RL,8450,7,5,2004,2004,266,Gd,1436,Y,1436,0,1436,1,Gd,0,2,2008,210000
218,70,RM,9906,4,4,1925,1950,0,TA,686,N,810,518,1328,0,TA,0,1,2006,107000
219,50,RL,15660,7,9,1939,2006,312,Gd,798,Y,1137,817,1954,0,Gd,2,2,2008,311500
220,120,RL,3010,7,5,2005,2006,16,Gd,1248,Y,1248,0,1248,0,Gd,0,2,2006,167240
221,20,RL,8990,7,5,2006,2006,0,Gd,1498,Y,1498,0,1498,0,Gd,0,2,2006,204900
222,60,RL,8068,6,5,2002,2002,0,Gd,1010,Y,1010,1257,2267,0,Gd,1,2,2009,200000
223,60,RL,11475,6,6,1975,1975,0,TA,713,Y,811,741,1552,1,TA,1,2,2006,179900
224,20,RL,10500,4,6,1971,1971,0,TA,864,Y,864,0,864,0,TA,0,2,2009,97000
225,20,RL,13472,10,5,2003,2003,922,Ex,2392,Y,2392,0,2392,0,Ex,1,3,2009,386250
226,160,RM,1680,5,5,1971,1971,142,TA,630,Y,630,672,1302,0,TA,0,1,2009,112000
227,60,RL,9950,7,5,1995,1995,290,Gd,1203,Y,1214,1306,2520,0,Gd,1,3,2007,290000
228,160,RM,1869,6,6,1970,1970,127,TA,483,Y,483,504,987,0,TA,0,1,2008,106000
229,20,RL,8521,5,5,1967,1967,0,TA,912,Y,912,0,912,0,TA,1,1,2010,125000
230,120,RL,3182,7,5,2005,2006,16,Gd,1373,Y,1555,0,1555,0,Gd,1,2,2009,192500
231,20,RL,8760,6,6,1959,1959,220,TA,1194,Y,1194,0,1194,1,TA,0,1,2010,148000
232,60,RL,15138,8,5,1995,1996,506,Gd,1462,Y,1490,1304,2794,1,Ex,1,3,2009,403000
233,160,RM,1680,6,5,1972,1972,297,TA,483,Y,483,504,987,0,TA,1,1,2006,94500
234,20,RL,10650,5,6,1976,1976,0,TA,894,Y,894,0,894,1,TA,0,1,2010,128200
235,60,RL,7851,6,5,2002,2002,NA,Gd,860,Y,860,1100,1960,1,Gd,2,2,2010,216500
236,160,RM,1680,6,3,1971,1971,604,TA,483,Y,483,504,987,0,TA,0,1,2008,89500
237,20,RL,8773,7,5,2004,2004,98,Gd,1414,Y,1414,0,1414,0,Gd,0,2,2010,185500
238,60,RL,9453,7,7,1993,2003,0,Gd,996,Y,1014,730,1744,0,Gd,0,2,2010,194500
239,20,RL,12030,8,5,2007,2007,254,Ex,1694,Y,1694,0,1694,0,Gd,0,3,2007,318000
240,50,RL,8741,6,4,1945,1950,0,TA,735,Y,798,689,1487,0,TA,1,1,2010,113000
241,20,FV,9000,8,5,2008,2008,36,Gd,1566,Y,1566,0,1566,1,Gd,0,2,2010,262500
242,30,RM,3880,5,9,1945,1997,0,TA,686,Y,866,0,866,0,Gd,0,0,2007,110500
243,50,RM,5000,5,4,1900,1950,0,TA,540,N,889,551,1440,0,TA,0,1,2006,79000
244,160,RL,10762,6,6,1980,1980,0,TA,626,Y,626,591,1217,0,TA,1,1,2009,120000
245,60,RL,8880,7,5,1994,2002,0,Gd,948,Y,1222,888,2110,1,Gd,2,2,2010,205000
246,20,RL,10400,7,5,1988,1988,102,TA,1845,Y,1872,0,1872,0,TA,1,2,2006,241500
247,190,RM,9142,6,8,1910,1950,0,TA,1020,N,908,1020,1928,0,Fa,0,1,2006,137000
248,20,RL,11310,6,5,1954,1954,0,TA,1367,Y,1375,0,1375,0,TA,1,2,2006,140000
249,60,RL,11317,7,5,2003,2003,101,Gd,840,Y,840,828,1668,0,Gd,0,2,2007,180000
250,50,RL,159000,6,7,1958,2006,472,Gd,1444,Y,1444,700,2144,0,Gd,2,2,2007,277000
251,30,RL,5350,3,2,1940,1966,0,TA,728,Y,1306,0,1306,0,Fa,0,0,2010,76500
252,120,RM,4750,8,5,2006,2007,481,Gd,1573,Y,1625,0,1625,1,Gd,1,2,2007,235000
253,60,RL,8366,6,5,2004,2004,0,Gd,798,Y,798,842,1640,0,Gd,0,2,2008,173000
254,80,RL,9350,6,7,1964,1991,108,TA,1302,Y,1302,0,1302,0,Gd,0,1,2007,158000
